"No","Ch1","Ch2","Ch3","Ch4"
21566,0.206853142470576,0.131311100423368,0.343813722125128,0.318022034980928
21567,0.0668108911435863,0.353787499351389,0.361096527835406,0.218305081669619
21568,0.281067164192859,0.427064201043679,0.0934481016874242,0.198420533076037
21569,0.487935870117234,0.112947948022127,0.209976372052857,0.189139809807783
21570,0.157682227166941,0.22946525634256,0.520950720268886,0.0919017962216125
21571,0.078997326149452,0.67198584330531,0.121991863102841,0.127024967442397
21572,0.174783092253161,0.073817638516002,0.526041976229828,0.22535729300101
21573,0.135849476189586,0.157013445519079,0.214928713212749,0.492208365078586
21574,0.190299291813903,0.308220642269715,0.333935302219142,0.16754476369724
21575,0.0662092992660201,0.104093666674738,0.650767895561186,0.178929138498056
21576,0.210783901742954,0.165423353232966,0.304905824040229,0.318886920983851
21577,0.228588151325296,0.116841536046542,0.565981497294747,0.0885888153334155
21578,0.380860135848504,0.217263191955273,0.181176290819938,0.220700381376285
21579,0.0958511943310269,0.180238915574997,0.199388768134772,0.524521121959204
21580,0.0730548897977211,0.486760881608081,0.21396329149663,0.226220937097567
21581,0.354416488697654,0.112981524609191,0.220820992375352,0.311780994317803
21582,0.105349363111815,0.15398935713406,0.42786017616194,0.312801103592185
21583,0.13744896815577,0.162582383559871,0.286236204124155,0.413732444160204
21584,0.20863549463548,0.272090769264944,0.124123903094568,0.395149833005008
21585,0.309150629946797,0.1950788609689,0.141100516131586,0.354669992952718
21586,0.166674527989056,0.413636910090341,0.221617382797091,0.198071179123512
21587,0.0523826715119195,0.514920165301669,0.208050270456674,0.224646892729737
21588,0.0780522147402428,0.101800032389736,0.534633164587398,0.285514588282623
21589,0.139559011242638,0.0940981421396997,0.540423415976186,0.225919430641476
21590,0.066207980599962,0.139276705974909,0.530187444698165,0.264327868726964
21591,0.0691056650342265,0.242326316371048,0.399701988693099,0.288866029901627
21592,0.109534792727369,0.260120180604113,0.0960335040712859,0.534311522597232
21593,0.588319922522109,0.170822015004149,0.106481865313388,0.134376197160354
21594,0.160743053276399,0.163975927923222,0.209754211383118,0.465526807417261
21595,0.295398635477145,0.142438357928364,0.104313376235062,0.45784963035943
21596,0.129872258521298,0.635592606310557,0.100876152962898,0.133658982205247
21597,0.354516731184736,0.208202296262638,0.0907427168325685,0.346538255720057
21598,0.108474059982806,0.348813796900861,0.343364715742973,0.19934742737336
21599,0.247613802736654,0.354109585228038,0.264799581742826,0.133477030292482
21600,0.103685357306154,0.207828409929873,0.0892163077013346,0.599269925062638
21601,0.0954148263405515,0.176527526442969,0.222190508773459,0.505867138443021
21602,0.0515025180096631,0.466612662362336,0.324913594017527,0.156971225610474
21603,0.37206984831905,0.0810570386115254,0.179517410816129,0.367355702253295
21604,0.0823513503133922,0.227830823223102,0.361855787189844,0.327962039273661
