"","Ch1","Ch2","Ch3","Ch4","PredictedChoice","No"
"1",0.27155144829706,0.385013422860401,0.242627651606189,0.100807477236349,"2",1
"2",0.321212912385221,0.205402411411609,0.0442872380863961,0.429097438116774,"4",2
"3",0.264427307949653,0.130796377472634,0.276095750722476,0.328680563855237,"4",3
"4",0.35490089410495,0.155299186620981,0.104954933263507,0.384844986010562,"4",4
"5",0.33003129664941,0.211013464474243,0.302447244225175,0.156507994651172,"1",5
"6",0.724211092251373,0.104513647342783,0.0361214035138918,0.135153856891951,"1",6
"7",0.206319853247978,0.568501774917059,0.0287072187931252,0.196471153041837,"2",7
"8",0.508180382199928,0.0427689626529226,0.0910732322857987,0.357977422861351,"1",8
"9",0.0898871052460074,0.36008725363862,0.15600298167146,0.394022659443912,"4",9
"10",0.221736563866637,0.374260583498661,0.054711306698475,0.349291545936227,"2",10
"11",0.1848214602889,0.328463080189161,0.169462428760392,0.317253030761547,"2",11
"12",0.0675138291282594,0.141057280180053,0.624636266745794,0.166792623945894,"3",12
"13",0.108171644267024,0.147796528643486,0.38609340771048,0.35793841937901,"3",13
"14",0.189188254865901,0.265892346465933,0.100845913521909,0.444073485146257,"4",14
"15",0.17360860091152,0.542487946846963,0.0844071414789854,0.199496310762532,"2",15
"16",0.24125330782206,0.240800803079464,0.116062699155647,0.401883189942829,"4",16
"17",0.131066736965273,0.256339306066094,0.14277993873053,0.469814018238102,"4",17
"18",0.194713303688361,0.435794819874854,0.072582085579122,0.296909790857663,"2",18
"19",0.0766281392902942,0.377060701191214,0.312383608872103,0.233927550646388,"2",19
"20",0.505407769804129,0.344257481775677,0.0402367582914548,0.110097990128739,"1",20
"21",0.529477989079044,0.127342537893297,0.0955759889946068,0.247603484033052,"1",21
"22",0.0932731866825337,0.34310905112653,0.274496178440244,0.289121583750692,"2",22
"23",0.18331359120335,0.523860945315874,0.155697202983269,0.137128260497507,"2",23
"24",0.0718408743596688,0.331754361839305,0.200832927748616,0.395571836052409,"4",24
"25",0.212023214197041,0.0906349762208184,0.42277322074787,0.274568588834271,"3",25
"26",0.134166293955646,0.160286663593296,0.482431803013953,0.223115239437106,"3",26
"27",0.406638355523557,0.139624219462191,0.297919250791765,0.155818174222486,"1",27
"28",0.177550390043583,0.196648071672718,0.365308066630337,0.260493471653363,"3",28
"29",0.0659635866386889,0.363668248001178,0.233625354309567,0.336742811050566,"2",29
"30",0.437982765721609,0.141407385714924,0.0737749513752678,0.346834897188199,"1",30
"31",0.101306813184463,0.224124017384953,0.403067692500918,0.271501476929665,"3",31
"32",0.139751159089385,0.224159886441585,0.0907215706527055,0.545367383816324,"4",32
"33",0.379688022764494,0.113795998991136,0.179482802609559,0.327033175634811,"1",33
"34",0.29794532812316,0.0646377055326983,0.18358629254217,0.453830673801972,"4",34
"35",0.391554383016331,0.222246090455789,0.0721396899795116,0.314059836548369,"1",35
"36",0.353940723897906,0.0907599938844935,0.179287030399334,0.376012251818267,"4",36
"37",0.319247287369191,0.039556518877122,0.216602644810747,0.42459354894294,"4",37
"38",0.101256005451405,0.571299048239304,0.0487833916261319,0.278661554683159,"2",38
"39",0.119865731553875,0.249970359122633,0.337363747615369,0.292800161708123,"3",39
"40",0.408691224310655,0.0939004959754883,0.0640194513294666,0.43338882838439,"4",40
"41",0.116852515684959,0.120650532868801,0.292587619122843,0.469909332323397,"4",41
"42",0.538240931216202,0.0502509465798613,0.184313458492186,0.227194663711751,"1",42
"43",0.439224515463269,0.133171098589179,0.0463110473205219,0.38129333862703,"1",43
"44",0.0675938787752038,0.170005743431065,0.468294443265143,0.294105934528588,"3",44
"45",0.0710972171912173,0.162277077944339,0.412323720287535,0.354301984576909,"3",45
"46",0.0999938243468312,0.380507697423695,0.190447935274496,0.329050542954978,"2",46
"47",0.396255652362766,0.191895370143669,0.117941625302463,0.293907352191102,"1",47
"48",0.03694402056024,0.55845788359498,0.0454734895825128,0.359124606262267,"2",48
"49",0.0359283070956852,0.50591758280156,0.357226919991841,0.100927190110914,"2",49
"50",0.0489306286587467,0.669647545370708,0.0528723927391991,0.228549433231346,"2",50
"51",0.397139406213154,0.0617268468127021,0.424440523982639,0.116693222991504,"3",51
"52",0.0131060322743819,0.858033988472743,0.0246387836265117,0.104221195626363,"2",52
"53",0.294481166713741,0.0822438103504243,0.284955137209347,0.338319885726488,"4",53
"54",0.758066228214164,0.0677847527368857,0.0611148760981204,0.11303414295083,"1",54
"55",0.0435815148165082,0.273210390435305,0.342185436551318,0.341022658196869,"3",55
"56",0.140911815187528,0.205183811892949,0.184857036375645,0.469047336543878,"4",56
"57",0.0760619596933917,0.316174699871451,0.192692858458334,0.415070481976824,"4",57
"58",0.0612674146482604,0.0954195225250553,0.314598545607858,0.528714517218826,"4",58
"59",0.222394029333215,0.528463633985745,0.0795747123618,0.16956762431924,"2",59
"60",0.122505066127436,0.179795700004541,0.19760962089523,0.500089612972794,"4",60
"61",0.229804260319364,0.244820352932634,0.234438240704073,0.290937146043929,"4",61
"62",0.19120809690324,0.151532089259632,0.457332021590381,0.199927792246748,"3",62
"63",0.149821062209919,0.170079095302303,0.112946512536535,0.567153329951243,"4",63
